Settlement Date,Settlement Period,Market Index Data Provider Id,Market Index Volume (MWh),Market Index Price (£/MWh)
02 January 2024,36,N2EXMIDP,0,0
02 January 2024,37,APXMIDP ,2394.9,67.7
02 January 2024,37,N2EXMIDP,0,0
02 January 2024,38,APXMIDP ,2787,69.11
02 January 2024,38,N2EXMIDP,0,0
02 January 2024,39,APXMIDP ,2189.3,76.07
02 January 2024,39,N2EXMIDP,0,0
02 January 2024,40,APXMIDP ,2147.1,77.06
02 January 2024,40,N2EXMIDP,0,0
02 January 2024,41,APXMIDP ,2280.2,80.64
02 January 2024,41,N2EXMIDP,0,0
02 January 2024,42,APXMIDP ,2561.3,73.83
02 January 2024,42,N2EXMIDP,0,0
02 January 2024,43,APXMIDP ,2423.05,63.5
02 January 2024,43,N2EXMIDP,0,0
02 January 2024,44,APXMIDP ,2506.1,59.78
02 January 2024,44,N2EXMIDP,0,0
02 January 2024,45,APXMIDP ,2107.3,59.71
02 January 2024,45,N2EXMIDP,0,0
02 January 2024,46,APXMIDP ,2090.4,58.88
02 January 2024,46,N2EXMIDP,0,0
02 January 2024,47,APXMIDP ,1297.55,78.77
02 January 2024,47,N2EXMIDP,0,0
02 January 2024,48,APXMIDP ,1423.8,75.17
02 January 2024,48,N2EXMIDP,0,0
03 January 2024,1,APXMIDP ,1576.4,71.16
03 January 2024,1,N2EXMIDP,0,0
03 January 2024,2,APXMIDP ,1747.65,87.09
03 January 2024,2,N2EXMIDP,0,0
03 January 2024,3,APXMIDP ,1427.9,82.24
03 January 2024,3,N2EXMIDP,0,0
03 January 2024,4,APXMIDP ,1511.45,80.81
03 January 2024,4,N2EXMIDP,0,0
03 January 2024,5,APXMIDP ,1890.35,84.72
03 January 2024,5,N2EXMIDP,0,0
03 January 2024,6,APXMIDP ,1916.6,77.7
03 January 2024,6,N2EXMIDP,0,0
03 January 2024,7,APXMIDP ,1472.7,84.63
03 January 2024,7,N2EXMIDP,0,0
03 January 2024,8,APXMIDP ,1611.85,80.15
03 January 2024,8,N2EXMIDP,0,0
03 January 2024,9,APXMIDP ,1906.9,66.99
03 January 2024,9,N2EXMIDP,0,0
03 January 2024,10,APXMIDP ,1984.2,76.65
03 January 2024,10,N2EXMIDP,0,0
03 January 2024,11,APXMIDP ,2039.5,66.69
03 January 2024,11,N2EXMIDP,0,0
03 January 2024,12,APXMIDP ,1884.95,71.11
03 January 2024,12,N2EXMIDP,0,0
03 January 2024,13,APXMIDP ,2134.8,56.59
03 January 2024,13,N2EXMIDP,0,0
03 January 2024,14,APXMIDP ,2686.3,53.63
03 January 2024,14,N2EXMIDP,0,0
03 January 2024,15,APXMIDP ,2816.9,51.61
03 January 2024,15,N2EXMIDP,0,0
03 January 2024,16,APXMIDP ,3021.85,56.96
03 January 2024,16,N2EXMIDP,0,0
03 January 2024,17,APXMIDP ,2528.8,57.31
03 January 2024,17,N2EXMIDP,0,0
03 January 2024,18,APXMIDP ,2824.8,56.72
03 January 2024,18,N2EXMIDP,0,0
03 January 2024,19,APXMIDP ,2448.7,75.17
03 January 2024,19,N2EXMIDP,0,0
03 January 2024,20,APXMIDP ,2790.75,85.91
03 January 2024,20,N2EXMIDP,0,0
03 January 2024,21,APXMIDP ,2527.35,89.33
03 January 2024,21,N2EXMIDP,0,0
03 January 2024,22,APXMIDP ,3418.05,86.83
03 January 2024,22,N2EXMIDP,0,0
03 January 2024,23,APXMIDP ,2500.5,97.1
03 January 2024,23,N2EXMIDP,0,0
03 January 2024,24,APXMIDP ,2896.6,96.2
03 January 2024,24,N2EXMIDP,0,0
03 January 2024,25,APXMIDP ,2954.3,93.56
03 January 2024,25,N2EXMIDP,0,0
03 January 2024,26,APXMIDP ,2931.7,89.66
03 January 2024,26,N2EXMIDP,0,0
03 January 2024,27,APXMIDP ,3323.3,85.62
03 January 2024,27,N2EXMIDP,0,0
03 January 2024,28,APXMIDP ,3154.9,86
03 January 2024,28,N2EXMIDP,0,0
03 January 2024,29,APXMIDP ,2904.95,87.27
03 January 2024,29,N2EXMIDP,0,0
03 January 2024,30,APXMIDP ,3106.45,82.64
03 January 2024,30,N2EXMIDP,0,0
03 January 2024,31,APXMIDP ,3144.85,87.58
03 January 2024,31,N2EXMIDP,0,0
03 January 2024,32,APXMIDP ,3198.3,84.99
03 January 2024,32,N2EXMIDP,0,0
03 January 2024,33,APXMIDP ,2809.4,87.72
03 January 2024,33,N2EXMIDP,0,0
03 January 2024,34,APXMIDP ,3307.3,90.79
03 January 2024,34,N2EXMIDP,0,0
03 January 2024,35,APXMIDP ,3291.95,88.13
03 January 2024,35,N2EXMIDP,0,0
03 January 2024,36,APXMIDP ,3054.9,84.55
03 January 2024,36,N2EXMIDP,0,0
03 January 2024,37,APXMIDP ,2890.6,83.92
03 January 2024,37,N2EXMIDP,0,0
03 January 2024,38,APXMIDP ,2971.4,87.29
03 January 2024,38,N2EXMIDP,0,0
03 January 2024,39,APXMIDP ,2923.95,82.93
03 January 2024,39,N2EXMIDP,0,0
03 January 2024,40,APXMIDP ,2906.8,77.09
03 January 2024,40,N2EXMIDP,0,0
03 January 2024,41,APXMIDP ,2481.9,74.49
03 January 2024,41,N2EXMIDP,0,0
03 January 2024,42,APXMIDP ,2536.7,71.72
03 January 2024,42,N2EXMIDP,0,0
03 January 2024,43,APXMIDP ,2456.8,70.55
03 January 2024,43,N2EXMIDP,0,0
03 January 2024,44,APXMIDP ,2592.7,73.65
03 January 2024,44,N2EXMIDP,0,0
03 January 2024,45,APXMIDP ,2634.85,79.5
03 January 2024,45,N2EXMIDP,0,0
03 January 2024,46,APXMIDP ,2604.6,77.07
03 January 2024,46,N2EXMIDP,0,0
03 January 2024,47,APXMIDP ,1352.3,68.83
03 January 2024,47,N2EXMIDP,0,0
03 January 2024,48,APXMIDP ,1249.2,60.38
03 January 2024,48,N2EXMIDP,0,0
04 January 2024,1,APXMIDP ,1431.1,71.52
04 January 2024,1,N2EXMIDP,0,0
04 January 2024,2,APXMIDP ,1576.25,67.48
04 January 2024,2,N2EXMIDP,0,0
04 January 2024,3,APXMIDP ,1630,62.54
04 January 2024,3,N2EXMIDP,0,0
04 January 2024,4,APXMIDP ,1546.3,59.58
04 January 2024,4,N2EXMIDP,0,0
04 January 2024,5,APXMIDP ,1627.5,60.42
04 January 2024,5,N2EXMIDP,0,0
04 January 2024,6,APXMIDP ,1756.45,60.38
04 January 2024,6,N2EXMIDP,0,0
04 January 2024,7,APXMIDP ,1813.55,57.23
04 January 2024,7,N2EXMIDP,0,0
04 January 2024,8,APXMIDP ,1463.9,50.83
04 January 2024,8,N2EXMIDP,0,0
04 January 2024,9,APXMIDP ,1437,57.07
04 January 2024,9,N2EXMIDP,0,0
04 January 2024,10,APXMIDP ,1338.2,54.37
04 January 2024,10,N2EXMIDP,0,0
04 January 2024,11,APXMIDP ,1660.15,61.31
04 January 2024,11,N2EXMIDP,0,0
04 January 2024,12,APXMIDP ,1456.2,60.86
04 January 2024,12,N2EXMIDP,0,0
04 January 2024,13,APXMIDP ,2171.6,73.56
04 January 2024,13,N2EXMIDP,0,0
04 January 2024,14,APXMIDP ,1941.35,52.52
04 January 2024,14,N2EXMIDP,0,0
04 January 2024,15,APXMIDP ,2021.75,56.05
04 January 2024,15,N2EXMIDP,0,0
04 January 2024,16,APXMIDP ,1817.15,64.92
