Settlement Date,Settlement Period,Market Index Data Provider Id,Market Index Volume (MWh),Market Index Price (£/MWh)
03 January 2025,5,N2EXMIDP,0,0
03 January 2025,6,APXMIDP ,2560.95,65.52
03 January 2025,6,N2EXMIDP,0,0
03 January 2025,7,APXMIDP ,2100.75,59.36
03 January 2025,7,N2EXMIDP,0,0
03 January 2025,8,APXMIDP ,2453.05,55.4
03 January 2025,8,N2EXMIDP,0,0
03 January 2025,9,APXMIDP ,2731.15,59.28
03 January 2025,9,N2EXMIDP,0,0
03 January 2025,10,APXMIDP ,2773.2,56.85
03 January 2025,10,N2EXMIDP,0,0
03 January 2025,11,APXMIDP ,3171,61.35
03 January 2025,11,N2EXMIDP,0,0
03 January 2025,12,APXMIDP ,2860.3,61.98
03 January 2025,12,N2EXMIDP,0,0
03 January 2025,13,APXMIDP ,4129.85,75.89
03 January 2025,13,N2EXMIDP,0,0
03 January 2025,14,APXMIDP ,4312.1,74.16
03 January 2025,14,N2EXMIDP,0,0
03 January 2025,15,APXMIDP ,3983.2,78.5
03 January 2025,15,N2EXMIDP,0,0
03 January 2025,16,APXMIDP ,3549,85.65
03 January 2025,16,N2EXMIDP,0,0
03 January 2025,17,APXMIDP ,3355.35,85.69
03 January 2025,17,N2EXMIDP,0,0
03 January 2025,18,APXMIDP ,2883.75,89.84
03 January 2025,18,N2EXMIDP,0,0
03 January 2025,19,APXMIDP ,3396.05,88.37
03 January 2025,19,N2EXMIDP,0,0
03 January 2025,20,APXMIDP ,3791.15,94.28
03 January 2025,20,N2EXMIDP,0,0
03 January 2025,21,APXMIDP ,3906.8,89.72
03 January 2025,21,N2EXMIDP,0,0
03 January 2025,22,APXMIDP ,3772.5,87.54
03 January 2025,22,N2EXMIDP,0,0
03 January 2025,23,APXMIDP ,3248.7,87.73
03 January 2025,23,N2EXMIDP,0,0
03 January 2025,24,APXMIDP ,3297.3,89.69
03 January 2025,24,N2EXMIDP,0,0
03 January 2025,25,APXMIDP ,2921.15,87.61
03 January 2025,25,N2EXMIDP,0,0
03 January 2025,26,APXMIDP ,2812.75,87.91
03 January 2025,26,N2EXMIDP,0,0
03 January 2025,27,APXMIDP ,3025.1,88.96
03 January 2025,27,N2EXMIDP,0,0
03 January 2025,28,APXMIDP ,3377.9,84.4
03 January 2025,28,N2EXMIDP,0,0
03 January 2025,29,APXMIDP ,3980.3,85.06
03 January 2025,29,N2EXMIDP,0,0
03 January 2025,30,APXMIDP ,3917.5,86.56
03 January 2025,30,N2EXMIDP,0,0
03 January 2025,31,APXMIDP ,3548.45,92.32
03 January 2025,31,N2EXMIDP,0,0
03 January 2025,32,APXMIDP ,3720.1,97.13
03 January 2025,32,N2EXMIDP,0,0
03 January 2025,33,APXMIDP ,3475.45,106.79
